"transcription","cost_threshold","train","validate","recall","precision"
"d-i-s-c-i-p-l-i-n-e-s_cm",9.461433601289293,1,0,1.0,1.0
"i-r-r-e-g-u-s_mi",3.9040221342377404,1,0,1.0,1.0
"l-a-r-i-t-i-e-s",4.534911783557762,1,0,1.0,1.0
"h-a-p-p-e-n-s_sq",5.46415675941288,1,0,1.0,1.0
"p-i-l-l-a-g-e",7.696686840777128,2,0,0.5,1.0
"c-o-m-p-l-a-i-n-e-d",10.61710686108568,1,0,1.0,1.0
"l-a-s-t",2.0537961423743156,1,0,1.0,1.0
"d-e-t-a-c-h-m-e-n-t-s_pt",14.672243010308746,1,0,1.0,1.0
"m-a-j-o-r",5.110190988202537,2,1,0.5,1.0
"l-e-w-i-s",4.441620809671173,2,0,0.5,1.0
"i-n-s_mi",2.001275740514003,1,0,1.0,1.0
